gene	mis_mle	tru_mle	mis_low	tru_low	mis_high	tru_high
ACVR2A	0	0	0	0	27.1014261658675	245.807303071045
CIDEB	30.500942888325	0	1.71140884467281	0	142.787157131171	561.178370947978
FOXO1	0	0	0	0	18.1612318736538	330.31343138672
GPAM	0	0	0	0	16.9004857263614	143.033417798062
SERPINA1	32.8118852719609	782.756450388088	5.29820317865335	187.168430131066	109.180383185906	2209.76097418908
